Loading data ...
Traceback (most recent call last):
  File "grid_knn_demo.py", line 214, in <module>
    VALIDATION = ('validation' == sys.argv[1])
IndexError: list index out of range
Loading data ...
Bayesian Optimization mode. Taking last 10% of training as test set.
[31mInitialization[0m
[94m--------------------------------------------------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   n_neighbors |        th |    w_hour |   w_log10acc |   w_weekday |       w_x |       w_y |    w_year | 
  173 | 13m52s |    0.54786 |       27.7188 |    8.7460 |    4.0736 |      22.8748 |      4.2486 |  547.5487 | 1305.1952 |   10.6959 | 
  174 | 14m30s |    0.54791 |       27.0698 |    3.8044 |    5.2126 |      24.4647 |      3.7153 |  600.2605 | 1368.6358 |    9.5180 | 
  175 | 13m13s |    0.54687 |       27.9224 |    8.1852 |    4.3372 |      21.9234 |      3.9917 |  692.4339 | 1295.6863 |    9.5429 | 
  176 | 15m49s |    0.54693 |       30.0733 |    3.5142 |    5.8079 |      22.2330 |      3.7245 |  509.5539 |  957.2906 |    7.6962 | 
  177 | 14m41s |    0.54617 |       26.5316 |    4.7886 |    4.2756 |      25.4078 |      4.3327 |  773.8607 | 1123.6954 |    9.5771 | 
  178 | 14m23s |    0.54915 |       26.3614 |    4.9502 |    3.6875 |      22.2599 |      3.2453 |  491.3484 | 1146.0615 |    8.7226 | 
  179 | 14m26s |    0.54621 |       22.5562 |    3.4283 |    4.8910 |      27.6168 |      4.6812 |  768.1908 | 1209.9130 |    9.5461 | 
  180 | 13m37s |    0.54769 |       27.5381 |    6.6282 |    5.4147 |      26.1240 |      4.1117 |  639.6806 | 1411.1798 |    9.9508 | 
  181 | 15m30s | [35m   0.54949[0m | [32m      27.6051[0m | [32m   4.5626[0m | [32m   4.1620[0m | [32m     23.2861[0m | [32m     2.9583[0m | [32m 472.1811[0m | [32m1038.9044[0m | [32m   8.4856[0m | 
  182 | 15m59s |    0.54880 |       28.3588 |    4.1050 |    4.5042 |      20.8122 |      3.2329 |  376.5861 |  911.1475 |    8.9714 | 
  183 | 15m11s |    0.54845 |       28.2545 |    4.0603 |    4.8567 |      23.6359 |      2.6348 |  348.6355 |  885.5155 |    7.9950 | 
  184 | 14m34s |    0.54888 |       26.9032 |    4.6403 |    4.0205 |      25.8283 |      3.8784 |  545.1478 | 1145.4727 |    9.7546 | 
  185 | 13m07s |    0.54617 |       29.5623 |    9.2059 |    5.1037 |      23.5487 |      4.3518 |  690.8143 | 1703.8110 |   10.0038 | 
  186 | 12m56s |    0.54590 |       30.9004 |   11.7357 |    6.4207 |      25.4273 |      5.4161 |  688.7599 | 1717.9425 |   10.6308 | 
  187 | 13m40s |    0.54337 |       27.9497 |    3.9041 |    6.8819 |      16.8440 |      4.9322 |  622.9060 | 1739.0243 |    5.4374 | 
  188 | 14m56s |    0.54912 |       26.8530 |    4.9539 |    4.2096 |      24.7098 |      3.2873 |  465.7602 |  975.0017 |   10.1938 | 
